   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
         178   8.95000121E-05   1.77214650E-04   1.77210561E-04  -2.30747428E-05
         179   9.00000086E-05   1.78205795E-04   1.78201197E-04  -2.58045693E-05
         180   9.05000124E-05   1.79196883E-04   1.79193012E-04  -2.16013414E-05
         181   9.10000090E-05   1.80187926E-04   1.80183648E-04  -2.37439035E-05
         182   9.15000128E-05   1.81178912E-04   1.81174270E-04  -2.56220756E-05
         183   9.20000093E-05   1.82169853E-04   1.82164906E-04  -2.71602876E-05
         184   9.25000131E-05   1.83160751E-04   1.83156721E-04  -2.20078218E-05
         185   9.30000097E-05   1.84151591E-04   1.84147357E-04  -2.29957550E-05
         186   9.35000135E-05   1.85142388E-04   1.85137978E-04  -2.38159155E-05
         187   9.40000100E-05   1.86133126E-04   1.86128615E-04  -2.42364331E-05
         188   9.45000138E-05   1.87123820E-04   1.87119236E-04  -2.44969651E-05
         189   9.50000103E-05   1.88114471E-04   1.88109872E-04  -2.44453149E-05
         190   9.55000141E-05   1.89105063E-04   1.89100494E-04  -2.41633497E-05
         191   9.60000107E-05   1.90095612E-04   1.90091130E-04  -2.35781117E-05
         192   9.65000072E-05   1.91086103E-04   1.91081752E-04  -2.27704768E-05
         193   9.70000110E-05   1.92076550E-04   1.92071195E-04  -2.78808329E-05
         194   9.75000075E-05   1.93066953E-04   1.93061831E-04  -2.65317813E-05
         195   9.80000113E-05   1.94057298E-04   1.94052453E-04  -2.49715358E-05
         196   9.85000079E-05   1.95047600E-04   1.95043089E-04  -2.31287031E-05
         197   9.90000117E-05   1.96037843E-04   1.96032517E-04  -2.71689678E-05
         198   9.95000082E-05   1.97028043E-04   1.97023153E-04  -2.48165943E-05
         199   1.00000012E-04   1.98018184E-04   1.98013775E-04  -2.22672916E-05
         200   1.00500009E-04   1.99008282E-04   1.99003218E-04  -2.54471597E-05
         201   1.01000012E-04   1.99998336E-04   1.99993839E-04  -2.24834021E-05
         202   1.01500009E-04   2.00988332E-04   2.00983282E-04  -2.51240526E-05
         203   1.02000013E-04   2.01978284E-04   2.01972725E-04  -2.75226848E-05
         204   1.02500009E-04   2.02968178E-04   2.02963347E-04  -2.38034900E-05
         205   1.03000013E-04   2.03958029E-04   2.03952790E-04  -2.56857948E-05
         206   1.03500010E-04   2.04947835E-04   2.04942218E-04  -2.74079175E-05
         207   1.04000013E-04   2.05937584E-04   2.05932854E-04  -2.29656034E-05
         208   1.04500010E-04   2.06927289E-04   2.06922283E-04  -2.41919752E-05
         209   1.05000014E-04   2.07916935E-04   2.07911726E-04  -2.50567191E-05
         210   1.05500010E-04   2.08906538E-04   2.08901169E-04  -2.57042921E-05
         211   1.06000014E-04   2.09896098E-04   2.09890597E-04  -2.62071007E-05
         212   1.06500011E-04   2.10885599E-04   2.10880040E-04  -2.63601596E-05
         213   1.07000014E-04   2.11875056E-04   2.11869468E-04  -2.63744259E-05
         214   1.07500011E-04   2.12864456E-04   2.12858911E-04  -2.60467350E-05
         215   1.08000015E-04   2.13853811E-04   2.13848354E-04  -2.55179348E-05
         216   1.08500011E-04   2.14843123E-04   2.14837783E-04  -2.48585366E-05
         217   1.09000015E-04   2.15832377E-04   2.15827225E-04  -2.38680641E-05
         218   1.09500012E-04   2.16821587E-04   2.16816654E-04  -2.27523997E-05
         219   1.10000015E-04   2.17810739E-04   2.17804904E-04  -2.67914911E-05
         220   1.10500012E-04   2.18799847E-04   2.18794346E-04  -2.51406127E-05
         221   1.11000016E-04   2.19788912E-04   2.19783775E-04  -2.33721803E-05
         222   1.11500012E-04   2.20777918E-04   2.20772024E-04  -2.66950738E-05
         223   1.12000009E-04   2.21766881E-04   2.21761453E-04  -2.44761395E-05
         224   1.12500013E-04   2.22755800E-04   2.22749703E-04  -2.73726619E-05
         225   1.13000009E-04   2.23744661E-04   2.23739145E-04  -2.46500258E-05
         226   1.13500013E-04   2.24733478E-04   2.24727381E-04  -2.71317731E-05
         227   1.14000009E-04   2.25722237E-04   2.25716823E-04  -2.39827605E-05
         228   1.14500013E-04   2.26710952E-04   2.26705073E-04  -2.59322551E-05
         229   1.15000010E-04   2.27699624E-04   2.27694502E-04  -2.24962569E-05
         230   1.15500014E-04   2.28688237E-04   2.28682751E-04  -2.39898818E-05
         231   1.16000010E-04   2.29676807E-04   2.29671001E-04  -2.52805712E-05
         232   1.16500014E-04   2.30665319E-04   2.30659236E-04  -2.63709389E-05
         233   1.17000011E-04   2.31653787E-04   2.31647486E-04  -2.72007237E-05
         234   1.17500014E-04   2.32642211E-04   2.32636929E-04  -2.27063920E-05
         235   1.18000011E-04   2.33630577E-04   2.33625164E-04  -2.31709309E-05
         236   1.18500015E-04   2.34618899E-04   2.34613413E-04  -2.33834544E-05
         237   1.19000011E-04   2.35607164E-04   2.35601663E-04  -2.33471346E-05
         238   1.19500015E-04   2.36595384E-04   2.36589898E-04  -2.31881077E-05
         239   1.20000012E-04   2.37583561E-04   2.37578148E-04  -2.27853980E-05
         240   1.20500015E-04   2.38571680E-04   2.38565204E-04  -2.71439512E-05
         241   1.21000012E-04   2.39559755E-04   2.39553439E-04  -2.63637685E-05
         242   1.21500016E-04   2.40547772E-04   2.40541689E-04  -2.52875107E-05
         243   1.22000012E-04   2.41535745E-04   2.41529939E-04  -2.40393147E-05
         244   1.22500016E-04   2.42523674E-04   2.42518188E-04  -2.26212815E-05
         245   1.23000020E-04   2.43511546E-04   2.43505230E-04  -2.59359167E-05
         246   1.23500009E-04   2.44499359E-04   2.44493480E-04  -2.40455229E-05
         247   1.24000013E-04   2.45487143E-04   2.45480536E-04  -2.69128032E-05
         248   1.24500017E-04   2.46474869E-04   2.46468786E-04  -2.46793952E-05
         249   1.25000020E-04   2.47462536E-04   2.47455842E-04  -2.70508099E-05
         250   1.25500010E-04   2.48450175E-04   2.48444063E-04  -2.46003237E-05
         251   1.26000014E-04   2.49437755E-04   2.49431119E-04  -2.66032293E-05
         252   1.26500017E-04   2.50425277E-04   2.50419369E-04  -2.35927346E-05
         253   1.27000021E-04   2.51412770E-04   2.51406425E-04  -2.52365662E-05
         254   1.27500010E-04   2.52400205E-04   2.52393482E-04  -2.66369188E-05
         255   1.28000014E-04   2.53387581E-04   2.53381731E-04  -2.30871810E-05
         256   1.28500018E-04   2.54374900E-04   2.54368788E-04  -2.40273366E-05
         257   1.29000007E-04   2.55362189E-04   2.55355815E-04  -2.49602253E-05
         258   1.29500011E-04   2.56349420E-04   2.56342872E-04  -2.55453251E-05
         259   1.30000015E-04   2.57336593E-04   2.57329928E-04  -2.58997352E-05
         260   1.30500019E-04   2.58323736E-04   2.58316984E-04  -2.61387722E-05
         261   1.31000008E-04   2.59310822E-04   2.59304041E-04  -2.61515106E-05
         262   1.31500012E-04   2.60297849E-04   2.60291097E-04  -2.59405278E-05
         263   1.32000016E-04   2.61284848E-04   2.61278154E-04  -2.56197509E-05
         264   1.32500019E-04   2.62271788E-04   2.62265210E-04  -2.50794437E-05
         265   1.33000009E-04   2.63258669E-04   2.63252266E-04  -2.43220802E-05
         266   1.33500012E-04   2.64245493E-04   2.64239294E-04  -2.34602358E-05
         267   1.34000016E-04   2.65232287E-04   2.65225157E-04  -2.68844724E-05
         268   1.34500020E-04   2.66219024E-04   2.66212213E-04  -2.55822088E-05
         269   1.35000009E-04   2.67205702E-04   2.67199270E-04  -2.40717218E-05
         270   1.35500013E-04   2.68192351E-04   2.68185133E-04  -2.69133106E-05
         271   1.36000017E-04   2.69178941E-04   2.69172189E-04  -2.50846442E-05
         272   1.36500021E-04   2.70165474E-04   2.70159246E-04  -2.30538826E-05
         273   1.37000010E-04   2.71151977E-04   2.71145109E-04  -2.53314684E-05
         274   1.37500014E-04   2.72138423E-04   2.72132165E-04  -2.29936941E-05
         275   1.38000018E-04   2.73124810E-04   2.73117999E-04  -2.49353634E-05
         276   1.38500021E-04   2.74111168E-04   2.74103862E-04  -2.66507068E-05
         277   1.39000011E-04   2.75097467E-04   2.75090919E-04  -2.38043540E-05
