   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
         110   1.11000007E-03   2.08430318E-03   2.08331691E-03  -4.73413616E-04
         111   1.12000003E-03   2.10221880E-03   2.10122461E-03  -4.73146385E-04
         112   1.13000011E-03   2.12011649E-03   2.11911439E-03  -4.72887681E-04
         113   1.14000007E-03   2.13799649E-03   2.13698740E-03  -4.72201209E-04
         114   1.15000003E-03   2.15585856E-03   2.15484132E-03  -4.72070533E-04
         115   1.16000010E-03   2.17370270E-03   2.17267754E-03  -4.71838692E-04
         116   1.17000006E-03   2.19152891E-03   2.19049561E-03  -4.71720821E-04
         117   1.18000002E-03   2.20933743E-03   2.20829598E-03  -4.71608655E-04
         118   1.19000010E-03   2.22712802E-03   2.22607842E-03  -4.71502048E-04
         119   1.20000006E-03   2.24490091E-03   2.24384433E-03  -4.70881816E-04
         120   1.21000013E-03   2.26265611E-03   2.26159091E-03  -4.70995961E-04
         121   1.22000009E-03   2.28039338E-03   2.27932096E-03  -4.70498868E-04
         122   1.23000005E-03   2.29811296E-03   2.29703309E-03  -4.70114494E-04
         123   1.24000013E-03   2.31581484E-03   2.31472729E-03  -4.69840190E-04
         124   1.25000009E-03   2.33349903E-03   2.33240356E-03  -4.69673512E-04
         125   1.26000005E-03   2.35116552E-03   2.35006213E-03  -4.69512859E-04
         126   1.27000012E-03   2.36881431E-03   2.36770278E-03  -4.69456514E-04
         127   1.28000008E-03   2.38644541E-03   2.38532666E-03  -4.69013845E-04
         128   1.29000004E-03   2.40405905E-03   2.40293262E-03  -4.68774961E-04
         129   1.30000012E-03   2.42165499E-03   2.42052064E-03  -4.68639220E-04
         130   1.31000008E-03   2.43923324E-03   2.43809097E-03  -4.68508835E-04
         131   1.32000004E-03   2.45679403E-03   2.45564454E-03  -4.68099053E-04
         132   1.33000012E-03   2.47433735E-03   2.47318018E-03  -4.67886770E-04
         133   1.34000008E-03   2.49186298E-03   2.49069813E-03  -4.67680802E-04
         134   1.35000004E-03   2.50937114E-03   2.50819908E-03  -4.67295235E-04
         135   1.36000011E-03   2.52686185E-03   2.52568233E-03  -4.67010454E-04
         136   1.37000007E-03   2.54433509E-03   2.54314765E-03  -4.66915983E-04
         137   1.38000015E-03   2.56179087E-03   2.56059528E-03  -4.66916943E-04
         138   1.39000011E-03   2.57922919E-03   2.57802592E-03  -4.66740370E-04
         139   1.40000007E-03   2.59665004E-03   2.59544002E-03  -4.66210302E-04
         140   1.41000014E-03   2.61405343E-03   2.61283503E-03  -4.66314465E-04
         141   1.42000010E-03   2.63143936E-03   2.63021351E-03  -4.66066092E-04
         142   1.43000006E-03   2.64880783E-03   2.64757499E-03  -4.65648103E-04
         143   1.44000014E-03   2.66615907E-03   2.66491878E-03  -4.65413381E-04
         144   1.45000010E-03   2.68349284E-03   2.68224580E-03  -4.64924175E-04
         145   1.46000006E-03   2.70080939E-03   2.69955397E-03  -4.65048244E-04
         146   1.47000013E-03   2.71810847E-03   2.71684630E-03  -4.64573532E-04
         147   1.48000009E-03   2.73539033E-03   2.73412094E-03  -4.64278186E-04
         148   1.49000005E-03   2.75265495E-03   2.75137764E-03  -4.64243407E-04
         149   1.50000013E-03   2.76990235E-03   2.76861782E-03  -4.63959557E-04
         150   1.51000009E-03   2.78713251E-03   2.78584124E-03  -4.63514851E-04
         151   1.52000005E-03   2.80434545E-03   2.80304672E-03  -4.63327742E-04
         152   1.53000013E-03   2.82154116E-03   2.82023428E-03  -4.63393546E-04
         153   1.54000008E-03   2.83871964E-03   2.83740507E-03  -4.63297183E-04
         154   1.55000004E-03   2.85588088E-03   2.85455934E-03  -4.62959986E-04
         155   1.56000012E-03   2.87302490E-03   2.87169684E-03  -4.62467346E-04
         156   1.57000008E-03   2.89015193E-03   2.88881664E-03  -4.62225173E-04
         157   1.58000016E-03   2.90726172E-03   2.90591829E-03  -4.62309225E-04
         158   1.59000012E-03   2.92435451E-03   2.92300456E-03  -4.61837131E-04
         159   1.60000008E-03   2.94143008E-03   2.94007291E-03  -4.61610936E-04
         160   1.61000015E-03   2.95848865E-03   2.95712473E-03  -4.61232470E-04
         161   1.62000011E-03   2.97553022E-03   2.97415839E-03  -4.61252552E-04
         162   1.63000007E-03   2.99255480E-03   2.99117551E-03  -4.61119285E-04
         163   1.64000015E-03   3.00956215E-03   3.00817611E-03  -4.60757874E-04
         164   1.65000011E-03   3.02655250E-03   3.02515971E-03  -4.60403098E-04
         165   1.66000007E-03   3.04352585E-03   3.04212561E-03  -4.60284587E-04
         166   1.67000014E-03   3.06048244E-03   3.05907475E-03  -4.60169889E-04
         167   1.68000010E-03   3.07742204E-03   3.07600852E-03  -4.59528907E-04
         168   1.69000006E-03   3.09434463E-03   3.09292320E-03  -4.59575298E-04
         169   1.70000014E-03   3.11125023E-03   3.10982228E-03  -4.59174247E-04
         170   1.71000010E-03   3.12813907E-03   3.12670344E-03  -4.59152507E-04
         171   1.72000006E-03   3.14501091E-03   3.14356922E-03  -4.58614784E-04
         172   1.73000013E-03   3.16186599E-03   3.16041708E-03  -4.58453753E-04
         173   1.74000009E-03   3.17870406E-03   3.17724817E-03  -4.58223571E-04
         174   1.75000017E-03   3.19552538E-03   3.19406274E-03  -4.57925285E-04
         175   1.76000013E-03   3.21232993E-03   3.21086030E-03  -4.57705057E-04
         176   1.77000009E-03   3.22911772E-03   3.22764041E-03  -4.57706017E-04
         177   1.78000017E-03   3.24588851E-03   3.24440468E-03  -4.57350368E-04
         178   1.79000013E-03   3.26264254E-03   3.26115126E-03  -4.57286456E-04
         179   1.80000009E-03   3.27937980E-03   3.27788224E-03  -4.56870184E-04
         180   1.81000016E-03   3.29610053E-03   3.29459552E-03  -4.56813985E-04
         181   1.82000012E-03   3.31280450E-03   3.31129297E-03  -4.56479262E-04
         182   1.83000008E-03   3.32949171E-03   3.32797272E-03  -4.56430163E-04
         183   1.84000016E-03   3.34616215E-03   3.34463711E-03  -4.55965986E-04
         184   1.85000012E-03   3.36281606E-03   3.36128473E-03  -4.55577945E-04
         185   1.86000008E-03   3.37945321E-03   3.37791443E-03  -4.55540780E-04
         186   1.87000015E-03   3.39607382E-03   3.39452852E-03  -4.55231697E-04
         187   1.88000011E-03   3.41267767E-03   3.41112609E-03  -4.54859575E-04
         188   1.89000007E-03   3.42926499E-03   3.42770573E-03  -4.54901019E-04
         189   1.90000015E-03   3.44583578E-03   3.44426977E-03  -4.54673718E-04
         190   1.91000011E-03   3.46239004E-03   3.46081727E-03  -4.54450754E-04
         191   1.92000018E-03   3.47892777E-03   3.47734801E-03  -4.54299065E-04
         192   1.93000014E-03   3.49544873E-03   3.49386316E-03  -4.53817629E-04
         193   1.94000010E-03   3.51195340E-03   3.51036061E-03  -4.53740970E-04
         194   1.95000018E-03   3.52844154E-03   3.52684245E-03  -4.53402987E-04
         195   1.96000002E-03   3.54491314E-03   3.54330777E-03  -4.53070243E-04
         196   1.97000010E-03   3.56136821E-03   3.55975493E-03  -4.53200715E-04
         197   1.98000018E-03   3.57780675E-03   3.57618812E-03  -4.52615641E-04
         198   1.99000002E-03   3.59422900E-03   3.59260314E-03  -4.52556647E-04
         199   2.00000009E-03   3.61063471E-03   3.60900164E-03  -4.52500244E-04
         200   2.01000017E-03   3.62702413E-03   3.62538570E-03  -4.51932399E-04
         201   2.02000025E-03   3.64339701E-03   3.64175183E-03  -4.51755477E-04
         202   2.03000009E-03   3.65975359E-03   3.65810143E-03  -4.51645814E-04
         203   2.04000017E-03   3.67609388E-03   3.67443543E-03  -4.51348984E-04
         204   2.05000024E-03   3.69241787E-03   3.69075290E-03  -4.51119849E-04
         205   2.06000009E-03   3.70872556E-03   3.70705361E-03  -4.51020402E-04
         206   2.07000016E-03   3.72501696E-03   3.72333871E-03  -4.50736115E-04
         207   2.08000024E-03   3.74129205E-03   3.73960729E-03  -4.50518564E-04
         208   2.09000008E-03   3.75755085E-03   3.75586026E-03  -4.50118794E-04
         209   2.10000016E-03   3.77379335E-03   3.77209531E-03  -4.50156687E-04
         210   2.11000023E-03   3.79001955E-03   3.78831499E-03  -4.49950225E-04
         211   2.12000008E-03   3.80622945E-03   3.80451907E-03  -4.49563755E-04
         212   2.13000015E-03   3.82242328E-03   3.82070662E-03  -4.49304411E-04
         213   2.14000023E-03   3.83860082E-03   3.83687718E-03  -4.49231273E-04
         214   2.15000007E-03   3.85476230E-03   3.85303260E-03  -4.48918814E-04
         215   2.16000015E-03   3.87090747E-03   3.86917102E-03  -4.48791456E-04
         216   2.17000023E-03   3.88703658E-03   3.88529408E-03  -4.48487175E-04
         217   2.18000007E-03   3.90314963E-03   3.90140037E-03  -4.48366336E-04
         218   2.19000014E-03   3.91924661E-03   3.91749153E-03  -4.48010513E-04
         219   2.20000022E-03   3.93532729E-03   3.93356569E-03  -4.47837112E-04
         220   2.21000006E-03   3.95139214E-03   3.94962402E-03  -4.47666884E-04
         221   2.22000014E-03   3.96744069E-03   3.96566605E-03  -4.47499915E-04
         222   2.23000022E-03   3.98347341E-03   3.98169272E-03  -4.47219034E-04
         223   2.24000006E-03   3.99948983E-03   3.99770355E-03  -4.46825696E-04
         224   2.25000014E-03   4.01549041E-03   4.01369669E-03  -4.46901540E-04
         225   2.26000021E-03   4.03147470E-03   4.02967585E-03  -4.46400547E-04
         226   2.27000006E-03   4.04744316E-03   4.04563779E-03  -4.46250720E-04
         227   2.28000013E-03   4.06339578E-03   4.06158436E-03  -4.45989106E-04
         228   2.29000021E-03   4.07933258E-03   4.07751556E-03  -4.45617014E-04
         229   2.30000005E-03   4.09525307E-03   4.09343001E-03  -4.45363403E-04
         230   2.31000013E-03   4.11115773E-03   4.10932768E-03  -4.45340207E-04
         231   2.32000020E-03   4.12704656E-03   4.12521092E-03  -4.44980105E-04
         232   2.33000005E-03   4.14291956E-03   4.14107786E-03  -4.44736972E-04
         233   2.34000012E-03   4.15877672E-03   4.15692898E-03  -4.44497360E-04
         234   2.35000020E-03   4.17461805E-03   4.17276379E-03  -4.44372912E-04
         235   2.36000004E-03   4.19044355E-03   4.18858277E-03  -4.44251113E-04
         236   2.37000012E-03   4.20625322E-03   4.20438638E-03  -4.44021047E-04
         237   2.38000019E-03   4.22204705E-03   4.22017463E-03  -4.43684025E-04
         238   2.39000027E-03   4.23782505E-03   4.23594564E-03  -4.43681085E-04
         239   2.40000011E-03   4.25358722E-03   4.25170315E-03  -4.43131954E-04
         240   2.41000019E-03   4.26933356E-03   4.26744344E-03  -4.42916033E-04
         241   2.42000027E-03   4.28506406E-03   4.28316835E-03  -4.42594581E-04
         242   2.43000011E-03   4.30077920E-03   4.29887651E-03  -4.42602148E-04
         243   2.44000019E-03   4.31647850E-03   4.31457022E-03  -4.42287390E-04
         244   2.45000026E-03   4.33216197E-03   4.33024764E-03  -4.42084071E-04
         245   2.46000011E-03   4.34782961E-03   4.34590923E-03  -4.41883865E-04
         246   2.47000018E-03   4.36348189E-03   4.36155545E-03  -4.41686629E-04
         247   2.48000026E-03   4.37911833E-03   4.37718630E-03  -4.41385986E-04
         248   2.49000010E-03   4.39473940E-03   4.39280132E-03  -4.41195065E-04
         249   2.50000018E-03   4.41034464E-03   4.40840097E-03  -4.40901407E-04
         250   2.51000025E-03   4.42593452E-03   4.42398433E-03  -4.40821954E-04
         251   2.52000010E-03   4.44150856E-03   4.43955278E-03  -4.40534786E-04
         252   2.53000017E-03   4.45706723E-03   4.45510494E-03  -4.40460251E-04
         253   2.54000025E-03   4.47261008E-03   4.47064266E-03  -4.40075208E-04
         254   2.55000009E-03   4.48813755E-03   4.48616501E-03  -4.39694297E-04
         255   2.56000017E-03   4.50364919E-03   4.50167060E-03  -4.39524563E-04
         256   2.57000024E-03   4.51914547E-03   4.51716036E-03  -4.39460622E-04
         257   2.58000009E-03   4.53462638E-03   4.53263614E-03  -4.39090247E-04
         258   2.59000016E-03   4.55009192E-03   4.54809517E-03  -4.39031195E-04
         259   2.60000024E-03   4.56554163E-03   4.56354022E-03  -4.38565708E-04
         260   2.61000008E-03   4.58097598E-03   4.57896804E-03  -4.38511779E-04
         261   2.62000016E-03   4.59639495E-03   4.59438190E-03  -4.38155519E-04
         262   2.63000024E-03   4.61179856E-03   4.60978039E-03  -4.37803072E-04
         263   2.64000008E-03   4.62718681E-03   4.62516304E-03  -4.37555165E-04
         264   2.65000015E-03   4.64255968E-03   4.64052893E-03  -4.37611510E-04
         265   2.66000023E-03   4.65791719E-03   4.65588085E-03  -4.37368755E-04
         266   2.67000007E-03   4.67325933E-03   4.67121834E-03  -4.36929578E-04
         267   2.68000015E-03   4.68858611E-03   4.68653906E-03  -4.36792907E-04
         268   2.69000023E-03   4.70389752E-03   4.70184442E-03  -4.36658564E-04
         269   2.70000007E-03   4.71919356E-03   4.71713534E-03  -4.36328992E-04
         270   2.71000015E-03   4.73447423E-03   4.73240949E-03  -4.36298287E-04
         271   2.72000022E-03   4.74973954E-03   4.74767061E-03  -4.35778580E-04
         272   2.73000007E-03   4.76498995E-03   4.76291543E-03  -4.35556984E-04
         273   2.74000014E-03   4.78022499E-03   4.77814442E-03  -4.35435708E-04
         274   2.75000022E-03   4.79544466E-03   4.79335897E-03  -4.35122201E-04
         275   2.76000029E-03   4.81064944E-03   4.80855815E-03  -4.34908929E-04
         276   2.77000014E-03   4.82583884E-03   4.82374197E-03  -4.34698362E-04
         277   2.78000021E-03   4.84101288E-03   4.83890995E-03  -4.34586807E-04
