 # t(ms)  V(mV)  h  n  h_T  I_inj(pA)
  6.70000000E-01 -6.92510026E+01  8.94029267E-01  5.61093185E-02  4.73834891E-02  1.00000000E+02
  6.80000000E-01 -6.92400456E+01  8.93968923E-01  5.61334079E-02  4.73822712E-02  1.00000000E+02
  6.90000000E-01 -6.92290949E+01  8.93907877E-01  5.61577559E-02  4.73810377E-02  1.00000000E+02
  7.00000000E-01 -6.92181503E+01  8.93846132E-01  5.61823601E-02  4.73797885E-02  1.00000000E+02
  7.10000000E-01 -6.92072118E+01  8.93783694E-01  5.62072183E-02  4.73785238E-02  1.00000000E+02
  7.20000000E-01 -6.91962795E+01  8.93720567E-01  5.62323282E-02  4.73772437E-02  1.00000000E+02
  7.30000000E-01 -6.91853534E+01  8.93656755E-01  5.62576878E-02  4.73759481E-02  1.00000000E+02
  7.40000000E-01 -6.91744333E+01  8.93592263E-01  5.62832946E-02  4.73746372E-02  1.00000000E+02
  7.50000000E-01 -6.91635193E+01  8.93527094E-01  5.63091467E-02  4.73733110E-02  1.00000000E+02
  7.60000000E-01 -6.91526114E+01  8.93461255E-01  5.63352418E-02  4.73719696E-02  1.00000000E+02
  7.70000000E-01 -6.91417096E+01  8.93394748E-01  5.63615778E-02  4.73706129E-02  1.00000000E+02
  7.80000000E-01 -6.91308138E+01  8.93327578E-01  5.63881526E-02  4.73692412E-02  1.00000000E+02
  7.90000000E-01 -6.91199241E+01  8.93259749E-01  5.64149640E-02  4.73678544E-02  1.00000000E+02
  8.00000000E-01 -6.91090403E+01  8.93191266E-01  5.64420101E-02  4.73664526E-02  1.00000000E+02
  8.10000000E-01 -6.90981626E+01  8.93122133E-01  5.64692888E-02  4.73650359E-02  1.00000000E+02
  8.20000000E-01 -6.90872908E+01  8.93052353E-01  5.64967980E-02  4.73636043E-02  1.00000000E+02
  8.30000000E-01 -6.90764251E+01  8.92981932E-01  5.65245357E-02  4.73621579E-02  1.00000000E+02
  8.40000000E-01 -6.90655652E+01  8.92910872E-01  5.65524999E-02  4.73606967E-02  1.00000000E+02
  8.50000000E-01 -6.90547114E+01  8.92839178E-01  5.65806887E-02  4.73592208E-02  1.00000000E+02
  8.60000000E-01 -6.90438634E+01  8.92766854E-01  5.66091001E-02  4.73577303E-02  1.00000000E+02
  8.70000000E-01 -6.90330214E+01  8.92693905E-01  5.66377321E-02  4.73562252E-02  1.00000000E+02
  8.80000000E-01 -6.90221852E+01  8.92620333E-01  5.66665828E-02  4.73547055E-02  1.00000000E+02
  8.90000000E-01 -6.90113550E+01  8.92546143E-01  5.66956504E-02  4.73531714E-02  1.00000000E+02
  9.00000000E-01 -6.90005306E+01  8.92471339E-01  5.67249330E-02  4.73516228E-02  1.00000000E+02
  9.10000000E-01 -6.89897120E+01  8.92395924E-01  5.67544286E-02  4.73500599E-02  1.00000000E+02
  9.20000000E-01 -6.89788993E+01  8.92319903E-01  5.67841354E-02  4.73484826E-02  1.00000000E+02
  9.30000000E-01 -6.89680924E+01  8.92243279E-01  5.68140516E-02  4.73468911E-02  1.00000000E+02
  9.40000000E-01 -6.89572913E+01  8.92166055E-01  5.68441754E-02  4.73452854E-02  1.00000000E+02
  9.50000000E-01 -6.89464960E+01  8.92088237E-01  5.68745050E-02  4.73436655E-02  1.00000000E+02
  9.60000000E-01 -6.89357065E+01  8.92009826E-01  5.69050386E-02  4.73420316E-02  1.00000000E+02
  9.70000000E-01 -6.89249227E+01  8.91930828E-01  5.69357744E-02  4.73403836E-02  1.00000000E+02
  9.80000000E-01 -6.89141447E+01  8.91851245E-01  5.69667108E-02  4.73387216E-02  1.00000000E+02
  9.90000000E-01 -6.89033724E+01  8.91771082E-01  5.69978459E-02  4.73370457E-02  1.00000000E+02
  1.00000000E+00 -6.88926058E+01  8.91690341E-01  5.70291780E-02  4.73353559E-02  1.00000000E+02
  1.01000000E+00 -6.88818449E+01  8.91609027E-01  5.70607055E-02  4.73336523E-02  1.00000000E+02
  1.02000000E+00 -6.88710897E+01  8.91527142E-01  5.70924266E-02  4.73319349E-02  1.00000000E+02
  1.03000000E+00 -6.88603401E+01  8.91444691E-01  5.71243398E-02  4.73302038E-02  1.00000000E+02
  1.04000000E+00 -6.88495962E+01  8.91361676E-01  5.71564433E-02  4.73284590E-02  1.00000000E+02
  1.05000000E+00 -6.88388580E+01  8.91278102E-01  5.71887356E-02  4.73267007E-02  1.00000000E+02
  1.06000000E+00 -6.88281254E+01  8.91193971E-01  5.72212149E-02  4.73249287E-02  1.00000000E+02
  1.07000000E+00 -6.88173983E+01  8.91109287E-01  5.72538798E-02  4.73231432E-02  1.00000000E+02
  1.08000000E+00 -6.88066769E+01  8.91024053E-01  5.72867285E-02  4.73213443E-02  1.00000000E+02
  1.09000000E+00 -6.87959610E+01  8.90938274E-01  5.73197596E-02  4.73195319E-02  1.00000000E+02
  1.10000000E+00 -6.87852507E+01  8.90851951E-01  5.73529715E-02  4.73177062E-02  1.00000000E+02
  1.11000000E+00 -6.87745460E+01  8.90765088E-01  5.73863626E-02  4.73158672E-02  1.00000000E+02
  1.12000000E+00 -6.87638467E+01  8.90677688E-01  5.74199314E-02  4.73140149E-02  1.00000000E+02
  1.13000000E+00 -6.87531530E+01  8.90589755E-01  5.74536764E-02  4.73121494E-02  1.00000000E+02
  1.14000000E+00 -6.87424648E+01  8.90501293E-01  5.74875961E-02  4.73102708E-02  1.00000000E+02
  1.15000000E+00 -6.87317820E+01  8.90412302E-01  5.75216890E-02  4.73083790E-02  1.00000000E+02
  1.16000000E+00 -6.87211048E+01  8.90322789E-01  5.75559536E-02  4.73064742E-02  1.00000000E+02
  1.17000000E+00 -6.87104330E+01  8.90232754E-01  5.75903885E-02  4.73045564E-02  1.00000000E+02
  1.18000000E+00 -6.86997666E+01  8.90142201E-01  5.76249923E-02  4.73026256E-02  1.00000000E+02
  1.19000000E+00 -6.86891056E+01  8.90051134E-01  5.76597634E-02  4.73006818E-02  1.00000000E+02
  1.20000000E+00 -6.86784501E+01  8.89959556E-01  5.76947006E-02  4.72987252E-02  1.00000000E+02
  1.21000000E+00 -6.86677999E+01  8.89867468E-01  5.77298023E-02  4.72967558E-02  1.00000000E+02
  1.22000000E+00 -6.86571551E+01  8.89774875E-01  5.77650672E-02  4.72947736E-02  1.00000000E+02
