 # V  ninf  minf  hinf  ainf  binf  taun  taum  tauh  taua  taub
    -92.30000000      0.02205063      0.00037032      0.99907642      0.42638308      0.76763607      2.60593171      0.00812974      0.40997257      1.35779418      3.73954375
    -92.20000000      0.02224985      0.00037554      0.99906248      0.42680939      0.76628147      2.60865964      0.00817503      0.41202181      1.35709541      3.73850157
    -92.10000000      0.02245075      0.00038082      0.99904833      0.42723606      0.76492055      2.61138583      0.00822057      0.41408122      1.35639414      3.73745375
    -92.00000000      0.02265334      0.00038618      0.99903397      0.42766309      0.76355327      2.61411023      0.00826635      0.41615082      1.35569038      3.73640025
    -91.90000000      0.02285763      0.00039161      0.99901939      0.42809048      0.76217965      2.61683281      0.00831240      0.41823069      1.35498411      3.73534106
    -91.80000000      0.02306364      0.00039712      0.99900459      0.42851823      0.76079966      2.61955350      0.00835870      0.42032085      1.35427534      3.73427614
    -91.70000000      0.02327138      0.00040270      0.99898957      0.42894634      0.75941329      2.62227227      0.00840525      0.42242136      1.35356406      3.73320548
    -91.60000000      0.02348086      0.00040836      0.99897432      0.42937481      0.75802055      2.62498906      0.00845207      0.42453228      1.35285026      3.73212904
    -91.50000000      0.02369209      0.00041410      0.99895884      0.42980364      0.75662141      2.62770382      0.00849915      0.42665365      1.35213394      3.73104680
    -91.40000000      0.02390509      0.00041992      0.99894313      0.43023282      0.75521588      2.63041651      0.00854648      0.42878551      1.35141509      3.72995874
    -91.30000000      0.02411987      0.00042582      0.99892718      0.43066237      0.75380394      2.63312706      0.00859408      0.43092793      1.35069372      3.72886482
    -91.20000000      0.02433644      0.00043180      0.99891100      0.43109227      0.75238558      2.63583544      0.00864195      0.43308095      1.34996981      3.72776503
    -91.10000000      0.02455482      0.00043787      0.99889456      0.43152253      0.75096080      2.63854159      0.00869008      0.43524461      1.34924336      3.72665933
    -91.00000000      0.02477502      0.00044402      0.99887788      0.43195316      0.74952959      2.64124546      0.00873848      0.43741898      1.34851437      3.72554770
    -90.90000000      0.02499705      0.00045025      0.99886095      0.43238414      0.74809194      2.64394700      0.00878714      0.43960410      1.34778284      3.72443012
    -90.80000000      0.02522092      0.00045657      0.99884376      0.43281548      0.74664785      2.64664615      0.00883608      0.44180002      1.34704875      3.72330656
    -90.70000000      0.02544665      0.00046298      0.99882632      0.43324718      0.74519731      2.64934287      0.00888529      0.44400680      1.34631211      3.72217698
    -90.60000000      0.02567426      0.00046948      0.99880861      0.43367924      0.74374031      2.65203710      0.00893477      0.44622448      1.34557290      3.72104138
    -90.50000000      0.02590375      0.00047607      0.99879064      0.43411165      0.74227685      2.65472878      0.00898453      0.44845312      1.34483114      3.71989971
    -90.40000000      0.02613514      0.00048274      0.99877239      0.43454443      0.74080691      2.65741786      0.00903456      0.45069277      1.34408680      3.71875196
    -90.30000000      0.02636844      0.00048951      0.99875387      0.43497757      0.73933051      2.66010430      0.00908487      0.45294348      1.34333990      3.71759810
    -90.20000000      0.02660367      0.00049638      0.99873507      0.43541106      0.73784763      2.66278803      0.00913546      0.45520530      1.34259041      3.71643810
    -90.10000000      0.02684084      0.00050334      0.99871599      0.43584491      0.73635826      2.66546899      0.00918633      0.45747828      1.34183835      3.71527193
    -90.00000000      0.02707996      0.00051039      0.99869661      0.43627913      0.73486241      2.66814714      0.00923748      0.45976248      1.34108370      3.71409957
    -89.90000000      0.02732105      0.00051755      0.99867695      0.43671370      0.73336007      2.67082242      0.00928892      0.46205795      1.34032646      3.71292099
    -89.80000000      0.02756412      0.00052480      0.99865699      0.43714863      0.73185123      2.67349476      0.00934064      0.46436475      1.33956664      3.71173617
