 # t  V  n  m  h  a  b  J
      0.93000000    -67.97458579      0.15582383      0.01007459      0.96544985      0.54042261      0.28850672      0.00000000
      0.94000000    -67.97458834      0.15582406      0.01007459      0.96545318      0.54042278      0.28850679      0.00000000
      0.95000000    -67.97459100      0.15582429      0.01007459      0.96545648      0.54042294      0.28850685      0.00000000
      0.96000000    -67.97459376      0.15582451      0.01007458      0.96545976      0.54042310      0.28850692      0.00000000
      0.97000000    -67.97459663      0.15582474      0.01007458      0.96546302      0.54042326      0.28850698      0.00000000
      0.98000000    -67.97459959      0.15582496      0.01007458      0.96546625      0.54042342      0.28850705      0.00000000
      0.99000000    -67.97460266      0.15582519      0.01007457      0.96546945      0.54042358      0.28850711      0.00000000
      1.00000000    -67.97460581      0.15582541      0.01007457      0.96547263      0.54042373      0.28850718      0.00000000
      1.01000000    -67.97460905      0.15582563      0.01007457      0.96547579      0.54042388      0.28850724      0.00000000
      1.02000000    -67.97461238      0.15582585      0.01007456      0.96547893      0.54042404      0.28850731      0.00000000
      1.03000000    -67.97461578      0.15582607      0.01007456      0.96548204      0.54042419      0.28850737      0.00000000
      1.04000000    -67.97461927      0.15582629      0.01007455      0.96548513      0.54042434      0.28850744      0.00000000
      1.05000000    -67.97462283      0.15582651      0.01007455      0.96548820      0.54042448      0.28850750      0.00000000
      1.06000000    -67.97462646      0.15582673      0.01007455      0.96549124      0.54042463      0.28850757      0.00000000
      1.07000000    -67.97463016      0.15582695      0.01007454      0.96549426      0.54042477      0.28850763      0.00000000
      1.08000000    -67.97463393      0.15582716      0.01007454      0.96549726      0.54042492      0.28850770      0.00000000
      1.09000000    -67.97463776      0.15582738      0.01007453      0.96550024      0.54042506      0.28850776      0.00000000
      1.10000000    -67.97464165      0.15582759      0.01007453      0.96550319      0.54042520      0.28850783      0.00000000
      1.11000000    -67.97464560      0.15582781      0.01007452      0.96550612      0.54042534      0.28850789      0.00000000
      1.12000000    -67.97464960      0.15582802      0.01007452      0.96550903      0.54042548      0.28850796      0.00000000
      1.13000000    -67.97465365      0.15582823      0.01007451      0.96551192      0.54042561      0.28850802      0.00000000
      1.14000000    -67.97465776      0.15582844      0.01007451      0.96551479      0.54042575      0.28850809      0.00000000
      1.15000000    -67.97466191      0.15582865      0.01007450      0.96551764      0.54042588      0.28850815      0.00000000
      1.16000000    -67.97466611      0.15582886      0.01007450      0.96552046      0.54042601      0.28850822      0.00000000
      1.17000000    -67.97467035      0.15582907      0.01007449      0.96552327      0.54042614      0.28850828      0.00000000
      1.18000000    -67.97467464      0.15582928      0.01007449      0.96552605      0.54042627      0.28850835      0.00000000
      1.19000000    -67.97467896      0.15582949      0.01007448      0.96552882      0.54042640      0.28850841      0.00000000
      1.20000000    -67.97468331      0.15582969      0.01007447      0.96553156      0.54042653      0.28850848      0.00000000
      1.21000000    -67.97468771      0.15582990      0.01007447      0.96553428      0.54042665      0.28850854      0.00000000
      1.22000000    -67.97469213      0.15583010      0.01007446      0.96553699      0.54042677      0.28850861      0.00000000
      1.23000000    -67.97469659      0.15583031      0.01007446      0.96553967      0.54042690      0.28850867      0.00000000
      1.24000000    -67.97470107      0.15583051      0.01007445      0.96554233      0.54042702      0.28850874      0.00000000
      1.25000000    -67.97470558      0.15583071      0.01007445      0.96554497      0.54042714      0.28850880      0.00000000
