 # t  V  n  m  h  a  b  J
      2.09000000    -67.97565822      0.15584339      0.01007320      0.96571111      0.54043198      0.28854901      0.00000000
      2.10000000    -67.97566462      0.15584352      0.01007319      0.96571253      0.54043201      0.28854921      0.00000000
      2.11000000    -67.97567099      0.15584364      0.01007319      0.96571394      0.54043204      0.28854941      0.00000000
      2.12000000    -67.97567734      0.15584377      0.01007318      0.96571534      0.54043207      0.28854961      0.00000000
      2.13000000    -67.97568367      0.15584389      0.01007317      0.96571673      0.54043210      0.28854981      0.00000000
      2.14000000    -67.97568997      0.15584402      0.01007316      0.96571811      0.54043213      0.28855001      0.00000000
      2.15000000    -67.97569625      0.15584414      0.01007315      0.96571948      0.54043216      0.28855021      0.00000000
      2.16000000    -67.97570250      0.15584426      0.01007314      0.96572084      0.54043219      0.28855041      0.00000000
      2.17000000    -67.97570872      0.15584439      0.01007314      0.96572219      0.54043222      0.28855061      0.00000000
      2.18000000    -67.97571493      0.15584451      0.01007313      0.96572353      0.54043224      0.28855080      0.00000000
      2.19000000    -67.97572110      0.15584463      0.01007312      0.96572486      0.54043227      0.28855100      0.00000000
      2.20000000    -67.97572725      0.15584475      0.01007311      0.96572619      0.54043230      0.28855120      0.00000000
      2.21000000    -67.97573338      0.15584487      0.01007310      0.96572750      0.54043232      0.28855140      0.00000000
      2.22000000    -67.97573949      0.15584499      0.01007310      0.96572880      0.54043235      0.28855159      0.00000000
      2.23000000    -67.97574557      0.15584511      0.01007309      0.96573009      0.54043237      0.28855179      0.00000000
      2.24000000    -67.97575162      0.15584523      0.01007308      0.96573137      0.54043240      0.28855199      0.00000000
      2.25000000    -67.97575765      0.15584535      0.01007307      0.96573265      0.54043242      0.28855219      0.00000000
      2.26000000    -67.97576366      0.15584546      0.01007306      0.96573391      0.54043244      0.28855238      0.00000000
      2.27000000    -67.97576964      0.15584558      0.01007306      0.96573517      0.54043247      0.28855258      0.00000000
      2.28000000    -67.97577560      0.15584570      0.01007305      0.96573641      0.54043249      0.28855277      0.00000000
      2.29000000    -67.97578153      0.15584581      0.01007304      0.96573765      0.54043251      0.28855297      0.00000000
      2.30000000    -67.97578744      0.15584593      0.01007303      0.96573888      0.54043253      0.28855317      0.00000000
      2.31000000    -67.97579333      0.15584604      0.01007302      0.96574010      0.54043255      0.28855336      0.00000000
      2.32000000    -67.97579919      0.15584615      0.01007302      0.96574131      0.54043257      0.28855356      0.00000000
      2.33000000    -67.97580503      0.15584627      0.01007301      0.96574251      0.54043259      0.28855375      0.00000000
      2.34000000    -67.97581085      0.15584638      0.01007300      0.96574370      0.54043261      0.28855395      0.00000000
      2.35000000    -67.97581664      0.15584649      0.01007299      0.96574489      0.54043263      0.28855414      0.00000000
      2.36000000    -67.97582241      0.15584660      0.01007298      0.96574606      0.54043265      0.28855434      0.00000000
      2.37000000    -67.97582815      0.15584671      0.01007298      0.96574723      0.54043267      0.28855453      0.00000000
      2.38000000    -67.97583387      0.15584683      0.01007297      0.96574839      0.54043268      0.28855472      0.00000000
      2.39000000    -67.97583957      0.15584693      0.01007296      0.96574954      0.54043270      0.28855492      0.00000000
      2.40000000    -67.97584525      0.15584704      0.01007295      0.96575068      0.54043272      0.28855511      0.00000000
      2.41000000    -67.97585090      0.15584715      0.01007295      0.96575181      0.54043273      0.28855530      0.00000000
      2.42000000    -67.97585653      0.15584726      0.01007294      0.96575294      0.54043275      0.28855550      0.00000000
      2.43000000    -67.97586214      0.15584737      0.01007293      0.96575405      0.54043277      0.28855569      0.00000000
      2.44000000    -67.97586772      0.15584748      0.01007292      0.96575516      0.54043278      0.28855588      0.00000000
      2.45000000    -67.97587329      0.15584758      0.01007292      0.96575626      0.54043280      0.28855608      0.00000000
      2.46000000    -67.97587883      0.15584769      0.01007291      0.96575736      0.54043281      0.28855627      0.00000000
      2.47000000    -67.97588434      0.15584779      0.01007290      0.96575844      0.54043282      0.28855646      0.00000000
      2.48000000    -67.97588984      0.15584790      0.01007290      0.96575952      0.54043284      0.28855665      0.00000000
      2.49000000    -67.97589531      0.15584800      0.01007289      0.96576059      0.54043285      0.28855684      0.00000000
      2.50000000    -67.97590076      0.15584811      0.01007288      0.96576165      0.54043286      0.28855703      0.00000000
      2.51000000    -67.97590619      0.15584821      0.01007287      0.96576270      0.54043288      0.28855722      0.00000000
      2.52000000    -67.97591160      0.15584831      0.01007287      0.96576375      0.54043289      0.28855742      0.00000000
      2.53000000    -67.97591699      0.15584841      0.01007286      0.96576479      0.54043290      0.28855761      0.00000000
      2.54000000    -67.97592235      0.15584852      0.01007285      0.96576582      0.54043291      0.28855780      0.00000000
      2.55000000    -67.97592769      0.15584862      0.01007284      0.96576684      0.54043292      0.28855799      0.00000000
      2.56000000    -67.97593301      0.15584872      0.01007284      0.96576786      0.54043293      0.28855818      0.00000000
      2.57000000    -67.97593831      0.15584882      0.01007283      0.96576887      0.54043294      0.28855837      0.00000000
      2.58000000    -67.97594359      0.15584892      0.01007282      0.96576987      0.54043295      0.28855855      0.00000000
      2.59000000    -67.97594885      0.15584902      0.01007282      0.96577086      0.54043296      0.28855874      0.00000000
      2.60000000    -67.97595409      0.15584912      0.01007281      0.96577185      0.54043297      0.28855893      0.00000000
      2.61000000    -67.97595930      0.15584921      0.01007280      0.96577283      0.54043298      0.28855912      0.00000000
      2.62000000    -67.97596450      0.15584931      0.01007280      0.96577380      0.54043299      0.28855931      0.00000000
      2.63000000    -67.97596968      0.15584941      0.01007279      0.96577477      0.54043300      0.28855950      0.00000000
      2.64000000    -67.97597483      0.15584951      0.01007278      0.96577572      0.54043301      0.28855969      0.00000000
      2.65000000    -67.97597996      0.15584960      0.01007278      0.96577668      0.54043302      0.28855987      0.00000000
      2.66000000    -67.97598508      0.15584970      0.01007277      0.96577762      0.54043302      0.28856006      0.00000000
      2.67000000    -67.97599017      0.15584979      0.01007276      0.96577856      0.54043303      0.28856025      0.00000000
      2.68000000    -67.97599524      0.15584989      0.01007275      0.96577949      0.54043304      0.28856043      0.00000000
      2.69000000    -67.97600030      0.15584998      0.01007275      0.96578041      0.54043304      0.28856062      0.00000000
      2.70000000    -67.97600533      0.15585007      0.01007274      0.96578133      0.54043305      0.28856081      0.00000000
      2.71000000    -67.97601035      0.15585017      0.01007273      0.96578224      0.54043306      0.28856099      0.00000000
      2.72000000    -67.97601534      0.15585026      0.01007273      0.96578315      0.54043306      0.28856118      0.00000000
      2.73000000    -67.97602032      0.15585035      0.01007272      0.96578404      0.54043307      0.28856137      0.00000000
      2.74000000    -67.97602527      0.15585044      0.01007272      0.96578493      0.54043307      0.28856155      0.00000000
      2.75000000    -67.97603021      0.15585054      0.01007271      0.96578582      0.54043308      0.28856174      0.00000000
      2.76000000    -67.97603513      0.15585063      0.01007270      0.96578670      0.54043308      0.28856192      0.00000000
      2.77000000    -67.97604002      0.15585072      0.01007270      0.96578757      0.54043309      0.28856211      0.00000000
